session_id,outcome,color
12100997,0,Bonus
12100998,3,T
12100999,14,CT
12101000,6,T
12101001,12,CT
12101002,13,CT
12101003,14,CT
12101004,12,CT
12101005,2,T
12101006,6,T
12101007,7,T
12101008,2,T
12101009,13,CT
12101010,8,CT
12101011,10,CT
12101012,1,T
12101013,13,CT
12101014,10,CT
12101015,5,T
12101016,12,CT
12101017,12,CT
12101018,4,T
12101019,12,CT
12101020,2,T
12101021,3,T
12101022,4,T
12101023,12,CT
12101024,8,CT
12101025,12,CT
12101026,3,T
12101027,11,CT
12101028,12,CT
12101029,4,T
12101030,6,T
12101031,5,T
12101032,12,CT
12101033,2,T
12101034,5,T
12101035,3,T
12101036,11,CT
12101037,2,T
12101038,4,T
12101039,3,T
12101040,11,CT
12101041,6,T
12101042,4,T
12101043,11,CT
12101044,1,T
12101045,9,CT
12101046,0,Bonus
12101047,9,CT
12101048,6,T
12101049,6,T
12101050,3,T
12101051,1,T
12101052,2,T
12101053,13,CT
12101054,1,T
12101055,8,CT
12101056,7,T
12101057,8,CT
12101058,7,T
12101059,10,CT
12101060,10,CT
12101061,7,T
12101062,12,CT
12101063,14,CT
12101064,8,CT
12101065,10,CT
12101066,4,T
12101067,14,CT
12101068,5,T
12101069,14,CT
12101070,7,T
12101071,3,T
12101072,14,CT
12101073,1,T
12101074,3,T
12101075,12,CT
12101076,1,T
12101077,9,CT
12101078,11,CT
12101079,9,CT
12101080,6,T
12101081,12,CT
12101082,14,CT
12101083,9,CT
12101084,0,Bonus
12101085,10,CT
12101086,5,T
12101087,9,CT
12101088,4,T
12101089,8,CT
12101090,1,T
12101091,1,T
12101092,4,T
12101093,10,CT
12101094,14,CT
12101095,0,Bonus
12101096,0,Bonus
12101097,13,CT
12101098,10,CT
12101099,7,T
12101100,9,CT
12101101,12,CT
12101102,2,T
12101103,3,T
12101104,6,T
12101105,13,CT
12101106,0,Bonus
12101107,0,Bonus
12101108,7,T
12101109,5,T
12101110,13,CT
12101111,8,CT
12101112,10,CT
12101113,13,CT
12101114,0,Bonus
12101115,8,CT
12101116,0,Bonus
12101117,4,T
12101118,10,CT
12101119,2,T
12101120,10,CT
12101121,5,T
12101122,12,CT
